y,x,val
0.0000,0.0000,1.1842
0.0000,500.0000,0.0070
0.0000,1000.0000,0.5245
0.0000,1500.0000,0.7320
0.0000,2000.0000,0.9632
0.0000,2500.0000,1.3837
0.0000,3000.0000,1.6093
0.0000,3500.0000,1.4136
0.0000,4000.0000,1.3790
0.0000,4500.0000,2.2856
0.0000,5000.0000,2.2856
333.3333,0.0000,4.7932
333.3333,500.0000,3.6832
333.3333,1000.0000,3.2789
333.3333,1500.0000,3.2219
333.3333,2000.0000,3.0480
333.3333,2500.0000,2.3483
333.3333,3000.0000,1.7850
333.3333,3500.0000,1.9519
333.3333,4000.0000,2.0075
333.3333,4500.0000,0.7026
333.3333,5000.0000,0.7026
666.6667,0.0000,7.0552
666.6667,500.0000,6.0519
666.6667,1000.0000,5.8714
666.6667,1500.0000,6.1184
666.6667,2000.0000,6.2059
666.6667,2500.0000,5.0891
666.6667,3000.0000,3.7675
666.6667,3500.0000,3.7950
666.6667,4000.0000,3.8833
666.6667,4500.0000,1.6555
666.6667,5000.0000,1.6555
1000.0000,0.0000,8.0902
1000.0000,500.0000,7.1712
1000.0000,1000.0000,7.2059
1000.0000,1500.0000,7.7768
1000.0000,2000.0000,8.2313
1000.0000,2500.0000,7.7214
1000.0000,3000.0000,5.3372
1000.0000,3500.0000,4.3830
1000.0000,4000.0000,4.8708
1000.0000,4500.0000,2.1049
1000.0000,5000.0000,2.1049
1333.3333,0.0000,8.0275
1333.3333,500.0000,7.1782
1333.3333,1000.0000,7.3643
1333.3333,1500.0000,8.1950
1333.3333,2000.0000,8.9489
1333.3333,2500.0000,8.6155
1333.3333,3000.0000,6.2966
1333.3333,3500.0000,2.8128
1333.3333,4000.0000,1.5817
1333.3333,4500.0000,0.2044
1333.3333,5000.0000,0.2044
1666.6667,0.0000,7.1433
1666.6667,500.0000,6.2911
1666.6667,1000.0000,6.5608
1666.6667,1500.0000,7.5734
1666.6667,2000.0000,8.6853
1666.6667,2500.0000,8.6828
1666.6667,3000.0000,5.9011
1666.6667,3500.0000,3.0165
1666.6667,4000.0000,1.9599
1666.6667,4500.0000,0.3893
1666.6667,5000.0000,0.3893
2000.0000,0.0000,5.9673
2000.0000,500.0000,4.9916
2000.0000,1000.0000,5.0535
2000.0000,1500.0000,6.0352
2000.0000,2000.0000,7.4535
2000.0000,2500.0000,8.2852
2000.0000,3000.0000,5.0064
2000.0000,3500.0000,2.8850
2000.0000,4000.0000,1.2729
2000.0000,4500.0000,1.8673
2000.0000,5000.0000,1.8673
2333.3333,0.0000,4.7664
2333.3333,500.0000,3.5861
2333.3333,1000.0000,3.2263
2333.3333,1500.0000,3.6550
2333.3333,2000.0000,4.5048
2333.3333,2500.0000,4.8001
2333.3333,3000.0000,4.1120
2333.3333,3500.0000,2.0347
2333.3333,4000.0000,3.4566
2333.3333,4500.0000,6.2135
2333.3333,5000.0000,6.2135
2666.6667,0.0000,3.9318
2666.6667,500.0000,2.5720
2666.6667,1000.0000,1.8541
2666.6667,1500.0000,1.7763
2666.6667,2000.0000,2.3222
2666.6667,2500.0000,3.6465
2666.6667,3000.0000,4.4606
2666.6667,3500.0000,0.8056
2666.6667,4000.0000,5.6471
2666.6667,4500.0000,8.0388
2666.6667,5000.0000,8.0388
3000.0000,0.0000,3.7861
3000.0000,500.0000,2.3810
3000.0000,1000.0000,1.6097
3000.0000,1500.0000,1.5874
3000.0000,2000.0000,2.7566
3000.0000,2500.0000,5.3011
3000.0000,3000.0000,4.5707
3000.0000,3500.0000,0.5641
3000.0000,4000.0000,6.0728
3000.0000,4500.0000,9.0214
3000.0000,5000.0000,9.0214
3333.3333,0.0000,4.3530
3333.3333,500.0000,3.0794
3333.3333,1000.0000,2.6176
3333.3333,1500.0000,3.1570
3333.3333,2000.0000,5.6488
3333.3333,2500.0000,6.7877
3333.3333,3000.0000,5.0948
3333.3333,3500.0000,0.8040
3333.3333,4000.0000,5.6578
3333.3333,4500.0000,9.3310
3333.3333,5000.0000,9.3310
3666.6667,0.0000,5.2350
3666.6667,500.0000,4.2386
3666.6667,1000.0000,4.3500
3666.6667,1500.0000,6.2325
3666.6667,2000.0000,7.5976
3666.6667,2500.0000,8.7283
3666.6667,3000.0000,6.9984
3666.6667,3500.0000,2.0687
3666.6667,4000.0000,5.2284
3666.6667,4500.0000,8.4126
3666.6667,5000.0000,8.4126
4000.0000,0.0000,5.6256
4000.0000,500.0000,5.0626
4000.0000,1000.0000,6.2708
4000.0000,1500.0000,7.7256
4000.0000,2000.0000,8.0513
4000.0000,2500.0000,10.4755
4000.0000,3000.0000,9.4889
4000.0000,3500.0000,5.2980
4000.0000,4000.0000,0.8819
4000.0000,4500.0000,4.5897
4000.0000,5000.0000,4.5897
4333.3333,0.0000,4.2708
4333.3333,500.0000,4.1618
4333.3333,1000.0000,5.8788
4333.3333,1500.0000,7.7061
4333.3333,2000.0000,6.8805
4333.3333,2500.0000,9.2784
4333.3333,3000.0000,9.6999
4333.3333,3500.0000,7.0778
4333.3333,4000.0000,2.8039
4333.3333,4500.0000,0.4305
4333.3333,5000.0000,0.4305
4666.6667,0.0000,0.4801
4666.6667,500.0000,0.1293
4666.6667,1000.0000,1.7296
4666.6667,1500.0000,3.4608
4666.6667,2000.0000,3.0113
4666.6667,2500.0000,5.0909
4666.6667,3000.0000,6.2886
4666.6667,3500.0000,5.6055
4666.6667,4000.0000,3.9413
4666.6667,4500.0000,0.3327
4666.6667,5000.0000,0.3327
5000.0000,0.0000,0.4801
5000.0000,500.0000,0.1293
5000.0000,1000.0000,1.7296
5000.0000,1500.0000,3.4608
5000.0000,2000.0000,3.0113
5000.0000,2500.0000,5.0909
5000.0000,3000.0000,6.2886
5000.0000,3500.0000,5.6055
5000.0000,4000.0000,3.9413
5000.0000,4500.0000,0.3327
5000.0000,5000.0000,0.3327
