y,x,val
0.0000,0.0000,2.5556
0.0000,500.0000,3.7326
0.0000,1000.0000,4.2657
0.0000,1500.0000,4.4755
0.0000,2000.0000,4.7126
0.0000,2500.0000,5.1368
0.0000,3000.0000,5.3645
0.0000,3500.0000,5.1685
0.0000,4000.0000,5.1298
0.0000,4500.0000,6.0323
0.0000,5000.0000,6.0323
333.3333,0.0000,1.0419
333.3333,500.0000,0.0682
333.3333,1000.0000,0.4730
333.3333,1500.0000,0.5318
333.3333,2000.0000,0.7082
333.3333,2500.0000,1.4105
333.3333,3000.0000,1.9754
333.3333,3500.0000,1.8068
333.3333,4000.0000,1.7469
333.3333,4500.0000,3.0495
333.3333,5000.0000,3.0495
666.6667,0.0000,3.2851
666.6667,500.0000,2.2827
666.6667,1000.0000,2.1032
666.6667,1500.0000,2.3509
666.6667,2000.0000,2.4391
666.6667,2500.0000,1.3213
666.6667,3000.0000,0.0013
666.6667,3500.0000,0.0299
666.6667,4000.0000,0.1239
666.6667,4500.0000,2.1047
666.6667,5000.0000,2.1047
1000.0000,0.0000,4.3024
1000.0000,500.0000,3.3835
1000.0000,1000.0000,3.4202
1000.0000,1500.0000,3.9944
1000.0000,2000.0000,4.4528
1000.0000,2500.0000,3.9466
1000.0000,3000.0000,1.5612
1000.0000,3500.0000,0.6102
1000.0000,4000.0000,1.1052
1000.0000,4500.0000,1.6629
1000.0000,5000.0000,1.6629
1333.3333,0.0000,4.2256
1333.3333,500.0000,3.3767
1333.3333,1000.0000,3.5642
1333.3333,1500.0000,4.3997
1333.3333,2000.0000,5.1608
1333.3333,2500.0000,4.8332
1333.3333,3000.0000,2.5150
1333.3333,3500.0000,0.9712
1333.3333,4000.0000,2.1998
1333.3333,4500.0000,3.5757
1333.3333,5000.0000,3.5757
1666.6667,0.0000,3.3309
1666.6667,500.0000,2.4799
1666.6667,1000.0000,2.7508
1666.6667,1500.0000,3.7692
1666.6667,2000.0000,4.8903
1666.6667,2500.0000,4.8965
1666.6667,3000.0000,2.1132
1666.6667,3500.0000,0.7727
1666.6667,4000.0000,1.8260
1666.6667,4500.0000,3.3961
1666.6667,5000.0000,3.3961
2000.0000,0.0000,2.1477
2000.0000,500.0000,1.1727
2000.0000,1000.0000,1.2375
2000.0000,1500.0000,2.2256
2000.0000,2000.0000,3.6538
2000.0000,2500.0000,4.4966
2000.0000,3000.0000,1.2134
2000.0000,3500.0000,0.9088
2000.0000,4000.0000,2.5194
2000.0000,4500.0000,5.6621
2000.0000,5000.0000,5.6621
2333.3333,0.0000,0.9412
2333.3333,500.0000,0.2378
2333.3333,1000.0000,0.5947
2333.3333,1500.0000,0.1606
2333.3333,2000.0000,0.6965
2333.3333,2500.0000,0.9982
2333.3333,3000.0000,0.3126
2333.3333,3500.0000,1.7643
2333.3333,4000.0000,7.2638
2333.3333,4500.0000,10.0221
2333.3333,5000.0000,10.0221
2666.6667,0.0000,0.1050
2666.6667,500.0000,1.2534
2666.6667,1000.0000,1.9686
2666.6667,1500.0000,2.0428
2666.6667,2000.0000,1.4908
2666.6667,2500.0000,0.1590
2666.6667,3000.0000,0.6602
2666.6667,3500.0000,2.9980
2666.6667,4000.0000,9.4607
2666.6667,4500.0000,11.8524
2666.6667,5000.0000,11.8524
3000.0000,0.0000,0.0389
3000.0000,500.0000,1.4425
3000.0000,1000.0000,2.2117
3000.0000,1500.0000,2.2292
3000.0000,2000.0000,1.0530
3000.0000,2500.0000,1.5026
3000.0000,3000.0000,0.7731
3000.0000,3500.0000,3.2400
3000.0000,4000.0000,9.8877
3000.0000,4500.0000,12.8381
3000.0000,5000.0000,12.8381
3333.3333,0.0000,0.5330
3333.3333,500.0000,0.7397
3333.3333,1000.0000,1.1978
3333.3333,1500.0000,0.6522
3333.3333,2000.0000,1.8518
3333.3333,2500.0000,2.9981
3333.3333,3000.0000,1.3043
3333.3333,3500.0000,2.9949
3333.3333,4000.0000,9.4688
3333.3333,4500.0000,13.1463
3333.3333,5000.0000,13.1463
3666.6667,0.0000,1.4224
3666.6667,500.0000,0.4276
3666.6667,1000.0000,0.5440
3666.6667,1500.0000,2.4372
3666.6667,2000.0000,3.8116
3666.6667,2500.0000,4.9505
3666.6667,3000.0000,3.2199
3666.6667,3500.0000,1.7186
3666.6667,4000.0000,9.0295
3666.6667,4500.0000,12.2179
3666.6667,5000.0000,12.2179
4000.0000,0.0000,1.8207
4000.0000,500.0000,1.2614
4000.0000,1000.0000,2.4774
4000.0000,1500.0000,3.9419
4000.0000,2000.0000,4.2743
4000.0000,2500.0000,6.7097
4000.0000,3000.0000,5.7249
4000.0000,3500.0000,1.5280
4000.0000,4000.0000,4.6629
4000.0000,4500.0000,8.3758
4000.0000,5000.0000,8.3758
4333.3333,0.0000,0.4734
4333.3333,500.0000,0.3691
4333.3333,1000.0000,2.0949
4333.3333,1500.0000,3.9326
4333.3333,2000.0000,3.1106
4333.3333,2500.0000,5.5197
4333.3333,3000.0000,5.9471
4333.3333,3500.0000,3.3237
4333.3333,4000.0000,0.9560
4333.3333,4500.0000,4.1940
4333.3333,5000.0000,4.1940
4666.6667,0.0000,4.2746
4666.6667,500.0000,3.9179
4666.6667,1000.0000,2.0490
4666.6667,1500.0000,0.3090
4666.6667,2000.0000,0.7545
4666.6667,2500.0000,1.3358
4666.6667,3000.0000,2.5421
4666.6667,3500.0000,1.8631
4666.6667,4000.0000,0.2003
4666.6667,4500.0000,3.4130
4666.6667,5000.0000,3.4130
5000.0000,0.0000,4.2746
5000.0000,500.0000,3.9179
5000.0000,1000.0000,2.0490
5000.0000,1500.0000,0.3090
5000.0000,2000.0000,0.7545
5000.0000,2500.0000,1.3358
5000.0000,3000.0000,2.5421
5000.0000,3500.0000,1.8631
5000.0000,4000.0000,0.2003
5000.0000,4500.0000,3.4130
5000.0000,5000.0000,3.4130
