y,x,val
0.0000,0.0000,616.7400
0.0000,1000.0000,605.9594
0.0000,2000.0000,592.7818
0.0000,3000.0000,582.9776
0.0000,4000.0000,569.5824
0.0000,5000.0000,569.5824
714.2857,0.0000,530.6117
714.2857,1000.0000,537.2601
714.2857,2000.0000,525.7653
714.2857,3000.0000,530.2378
714.2857,4000.0000,533.2066
714.2857,5000.0000,533.2066
1428.5714,0.0000,312.4781
1428.5714,1000.0000,299.6550
1428.5714,2000.0000,306.7306
1428.5714,3000.0000,296.9738
1428.5714,4000.0000,306.1967
1428.5714,5000.0000,306.1967
2142.8571,0.0000,209.0165
2142.8571,1000.0000,170.6490
2142.8571,2000.0000,103.1206
2142.8571,3000.0000,82.8473
2142.8571,4000.0000,101.3245
2142.8571,5000.0000,101.3245
2857.1429,0.0000,897.1806
2857.1429,1000.0000,859.7465
2857.1429,2000.0000,932.7255
2857.1429,3000.0000,888.1924
2857.1429,4000.0000,880.3090
2857.1429,5000.0000,880.3090
3571.4286,0.0000,996.2983
3571.4286,1000.0000,1854.4791
3571.4286,2000.0000,1722.8409
3571.4286,3000.0000,1847.9421
3571.4286,4000.0000,1714.8334
3571.4286,5000.0000,1714.8334
4285.7143,0.0000,2046.6141
4285.7143,1000.0000,1612.7882
4285.7143,2000.0000,955.1876
4285.7143,3000.0000,2502.7267
4285.7143,4000.0000,978.6845
4285.7143,5000.0000,978.6845
5000.0000,0.0000,2046.6141
5000.0000,1000.0000,1612.7882
5000.0000,2000.0000,955.1876
5000.0000,3000.0000,2502.7267
5000.0000,4000.0000,978.6845
5000.0000,5000.0000,978.6845
