y,x,val
0.0000,0.0000,1169.8489
0.0000,1000.0000,1025.7966
0.0000,2000.0000,881.4573
0.0000,3000.0000,864.7501
0.0000,4000.0000,878.3720
0.0000,5000.0000,878.3720
333.3333,0.0000,708.6951
333.3333,1000.0000,786.8402
333.3333,2000.0000,758.6211
333.3333,3000.0000,797.4625
333.3333,4000.0000,706.5707
333.3333,5000.0000,706.5707
666.6667,0.0000,441.6517
666.6667,1000.0000,388.5460
666.6667,2000.0000,397.6875
666.6667,3000.0000,372.5296
666.6667,4000.0000,472.6411
666.6667,5000.0000,472.6411
1000.0000,0.0000,87.3989
1000.0000,1000.0000,81.7329
1000.0000,2000.0000,89.9232
1000.0000,3000.0000,119.6008
1000.0000,4000.0000,134.7797
1000.0000,5000.0000,134.7797
1333.3333,0.0000,137.0980
1333.3333,1000.0000,98.6352
1333.3333,2000.0000,103.1077
1333.3333,3000.0000,91.7300
1333.3333,4000.0000,133.9177
1333.3333,5000.0000,133.9177
1666.6667,0.0000,259.0366
1666.6667,1000.0000,238.1542
1666.6667,2000.0000,231.5291
1666.6667,3000.0000,200.0703
1666.6667,4000.0000,190.4957
1666.6667,5000.0000,190.4957
2000.0000,0.0000,314.1348
2000.0000,1000.0000,264.3058
2000.0000,2000.0000,265.5467
2000.0000,3000.0000,244.8521
2000.0000,4000.0000,226.4272
2000.0000,5000.0000,226.4272
2333.3333,0.0000,260.9722
2333.3333,1000.0000,244.9971
2333.3333,2000.0000,246.5563
2333.3333,3000.0000,254.4097
2333.3333,4000.0000,260.2529
2333.3333,5000.0000,260.2529
2666.6667,0.0000,136.4246
2666.6667,1000.0000,199.9237
2666.6667,2000.0000,209.5008
2666.6667,3000.0000,234.2334
2666.6667,4000.0000,262.4258
2666.6667,5000.0000,262.4258
3000.0000,0.0000,6.5853
3000.0000,1000.0000,121.5388
3000.0000,2000.0000,136.3027
3000.0000,3000.0000,213.5138
3000.0000,4000.0000,230.5613
3000.0000,5000.0000,230.5613
3333.3333,0.0000,73.8776
3333.3333,1000.0000,22.8975
3333.3333,2000.0000,46.9637
3333.3333,3000.0000,166.9153
3333.3333,4000.0000,205.2600
3333.3333,5000.0000,205.2600
3666.6667,0.0000,88.3159
3666.6667,1000.0000,101.8111
3666.6667,2000.0000,51.3832
3666.6667,3000.0000,65.2154
3666.6667,4000.0000,164.4662
3666.6667,5000.0000,164.4662
4000.0000,0.0000,4.2427
4000.0000,1000.0000,37.9294
4000.0000,2000.0000,90.0649
4000.0000,3000.0000,65.9758
4000.0000,4000.0000,0.3700
4000.0000,5000.0000,0.3700
4333.3333,0.0000,132.5413
4333.3333,1000.0000,103.2367
4333.3333,2000.0000,9.4194
4333.3333,3000.0000,192.3695
4333.3333,4000.0000,402.4246
4333.3333,5000.0000,402.4246
4666.6667,0.0000,205.5614
4666.6667,1000.0000,218.7243
4666.6667,2000.0000,175.9207
4666.6667,3000.0000,288.8709
4666.6667,4000.0000,1178.5699
4666.6667,5000.0000,1178.5699
5000.0000,0.0000,205.5614
5000.0000,1000.0000,218.7243
5000.0000,2000.0000,175.9207
5000.0000,3000.0000,288.8709
5000.0000,4000.0000,1178.5699
5000.0000,5000.0000,1178.5699
