y,x,val
0.0000,0.0000,1572.6226
0.0000,1000.0000,1569.0549
0.0000,2000.0000,1565.9827
0.0000,3000.0000,1564.0052
0.0000,4000.0000,1562.5782
0.0000,5000.0000,1562.5782
333.3333,0.0000,1573.6331
333.3333,1000.0000,1569.6437
333.3333,2000.0000,1566.3630
333.3333,3000.0000,1564.2268
333.3333,4000.0000,1561.9070
333.3333,5000.0000,1561.9070
666.6667,0.0000,1574.8632
666.6667,1000.0000,1571.2809
666.6667,2000.0000,1567.4286
666.6667,3000.0000,1564.6244
666.6667,4000.0000,1560.5504
666.6667,5000.0000,1560.5504
1000.0000,0.0000,1576.7995
1000.0000,1000.0000,1572.9474
1000.0000,2000.0000,1568.5290
1000.0000,3000.0000,1564.3460
1000.0000,4000.0000,1560.1793
1000.0000,5000.0000,1560.1793
1333.3333,0.0000,1578.4906
1333.3333,1000.0000,1574.3770
1333.3333,2000.0000,1569.5862
1333.3333,3000.0000,1564.6190
1333.3333,4000.0000,1560.3351
1333.3333,5000.0000,1560.3351
1666.6667,0.0000,1579.3946
1666.6667,1000.0000,1575.1908
1666.6667,2000.0000,1570.5585
1666.6667,3000.0000,1565.5595
1666.6667,4000.0000,1561.2138
1666.6667,5000.0000,1561.2138
2000.0000,0.0000,1579.3159
2000.0000,1000.0000,1575.0949
2000.0000,2000.0000,1571.0593
2000.0000,3000.0000,1567.3023
2000.0000,4000.0000,1562.8713
2000.0000,5000.0000,1562.8713
2333.3333,0.0000,1578.8294
2333.3333,1000.0000,1575.7204
2333.3333,2000.0000,1571.4173
2333.3333,3000.0000,1568.0481
2333.3333,4000.0000,1563.9589
2333.3333,5000.0000,1563.9589
2666.6667,0.0000,1578.5363
2666.6667,1000.0000,1576.2046
2666.6667,2000.0000,1571.6075
2666.6667,3000.0000,1567.9974
2666.6667,4000.0000,1563.9892
2666.6667,5000.0000,1563.9892
3000.0000,0.0000,1578.3920
3000.0000,1000.0000,1575.5223
3000.0000,2000.0000,1571.8467
3000.0000,3000.0000,1567.4414
3000.0000,4000.0000,1563.0687
3000.0000,5000.0000,1563.0687
3333.3333,0.0000,1578.4891
3333.3333,1000.0000,1574.1544
3333.3333,2000.0000,1570.7276
3333.3333,3000.0000,1566.7785
3333.3333,4000.0000,1561.4976
3333.3333,5000.0000,1561.4976
3666.6667,0.0000,1578.1328
3666.6667,1000.0000,1572.7417
3666.6667,2000.0000,1569.0563
3666.6667,3000.0000,1565.4734
3666.6667,4000.0000,1559.5179
3666.6667,5000.0000,1559.5179
4000.0000,0.0000,1576.4759
4000.0000,1000.0000,1571.6950
4000.0000,2000.0000,1567.0616
4000.0000,3000.0000,1563.6906
4000.0000,4000.0000,1558.1732
4000.0000,5000.0000,1558.1732
4333.3333,0.0000,1574.4402
4333.3333,1000.0000,1570.1878
4333.3333,2000.0000,1565.1558
4333.3333,3000.0000,1561.7323
4333.3333,4000.0000,1558.1776
4333.3333,5000.0000,1558.1776
4666.6667,0.0000,1572.6787
4666.6667,1000.0000,1569.0485
4666.6667,2000.0000,1564.2514
4666.6667,3000.0000,1560.7174
4666.6667,4000.0000,1558.0744
4666.6667,5000.0000,1558.0744
5000.0000,0.0000,1572.6787
5000.0000,1000.0000,1569.0485
5000.0000,2000.0000,1564.2514
5000.0000,3000.0000,1560.7174
5000.0000,4000.0000,1558.0744
5000.0000,5000.0000,1558.0744
