y,x,val
0.0000,0.0000,1902.0789
0.0000,1000.0000,1898.6427
0.0000,2000.0000,1893.2617
0.0000,3000.0000,1888.4186
0.0000,4000.0000,1880.9282
0.0000,5000.0000,1880.9282
714.2857,0.0000,1855.4562
714.2857,1000.0000,1847.0090
714.2857,2000.0000,1844.2613
714.2857,3000.0000,1836.7480
714.2857,4000.0000,1824.9831
714.2857,5000.0000,1824.9831
1428.5714,0.0000,1739.2147
1428.5714,1000.0000,1736.2216
1428.5714,2000.0000,1731.9862
1428.5714,3000.0000,1727.9463
1428.5714,4000.0000,1742.8728
1428.5714,5000.0000,1742.8728
2142.8571,0.0000,1615.9476
2142.8571,1000.0000,1607.0480
2142.8571,2000.0000,1596.9277
2142.8571,3000.0000,1589.8179
2142.8571,4000.0000,1561.5653
2142.8571,5000.0000,1561.5653
2857.1429,0.0000,1459.1942
2857.1429,1000.0000,1451.6362
2857.1429,2000.0000,1452.0420
2857.1429,3000.0000,1447.7410
2857.1429,4000.0000,1456.8346
2857.1429,5000.0000,1456.8346
3571.4286,0.0000,1341.2443
3571.4286,1000.0000,1346.5666
3571.4286,2000.0000,1346.9501
3571.4286,3000.0000,1341.7536
3571.4286,4000.0000,1342.5095
3571.4286,5000.0000,1342.5095
4285.7143,0.0000,1295.8914
4285.7143,1000.0000,1291.0212
4285.7143,2000.0000,1281.4367
4285.7143,3000.0000,1283.4279
4285.7143,4000.0000,1276.4898
4285.7143,5000.0000,1276.4898
5000.0000,0.0000,1295.8914
5000.0000,1000.0000,1291.0212
5000.0000,2000.0000,1281.4367
5000.0000,3000.0000,1283.4279
5000.0000,4000.0000,1276.4898
5000.0000,5000.0000,1276.4898
