y,x,val
0.0000,0.0000,66.0864
0.0000,1000.0000,65.1149
0.0000,2000.0000,64.3136
0.0000,3000.0000,64.6992
0.0000,4000.0000,65.7248
0.0000,5000.0000,65.7248
714.2857,0.0000,17.0703
714.2857,1000.0000,17.2626
714.2857,2000.0000,16.7306
714.2857,3000.0000,16.5003
714.2857,4000.0000,16.4149
714.2857,5000.0000,16.4149
1428.5714,0.0000,17.9673
1428.5714,1000.0000,17.6043
1428.5714,2000.0000,17.1747
1428.5714,3000.0000,16.8257
1428.5714,4000.0000,17.5257
1428.5714,5000.0000,17.5257
2142.8571,0.0000,36.6413
2142.8571,1000.0000,35.5691
2142.8571,2000.0000,35.1437
2142.8571,3000.0000,35.0099
2142.8571,4000.0000,35.0535
2142.8571,5000.0000,35.0535
2857.1429,0.0000,35.0878
2857.1429,1000.0000,33.8899
2857.1429,2000.0000,33.7574
2857.1429,3000.0000,33.9091
2857.1429,4000.0000,33.9036
2857.1429,5000.0000,33.9036
3571.4286,0.0000,7.7053
3571.4286,1000.0000,8.0585
3571.4286,2000.0000,8.6489
3571.4286,3000.0000,7.6987
3571.4286,4000.0000,9.2471
3571.4286,5000.0000,9.2471
4285.7143,0.0000,50.6445
4285.7143,1000.0000,49.8798
4285.7143,2000.0000,48.4466
4285.7143,3000.0000,49.2317
4285.7143,4000.0000,48.9989
4285.7143,5000.0000,48.9989
5000.0000,0.0000,50.6445
5000.0000,1000.0000,49.8798
5000.0000,2000.0000,48.4466
5000.0000,3000.0000,49.2317
5000.0000,4000.0000,48.9989
5000.0000,5000.0000,48.9989
