y,x,val
0.0000,0.0000,70.1807
0.0000,500.0000,70.0493
0.0000,1000.0000,69.7004
0.0000,1500.0000,69.4488
0.0000,2000.0000,69.1935
0.0000,2500.0000,69.1805
0.0000,3000.0000,69.4128
0.0000,3500.0000,69.9671
0.0000,4000.0000,70.4579
0.0000,4500.0000,71.2287
0.0000,5000.0000,71.2287
333.3333,0.0000,48.1937
333.3333,500.0000,47.8888
333.3333,1000.0000,47.5010
333.3333,1500.0000,47.3264
333.3333,2000.0000,47.0656
333.3333,2500.0000,47.1018
333.3333,3000.0000,47.2959
333.3333,3500.0000,47.8467
333.3333,4000.0000,48.2697
333.3333,4500.0000,48.7960
333.3333,5000.0000,48.7960
666.6667,0.0000,28.4995
666.6667,500.0000,28.3149
666.6667,1000.0000,27.8059
666.6667,1500.0000,27.6978
666.6667,2000.0000,27.5252
666.6667,2500.0000,27.6629
666.6667,3000.0000,27.7679
666.6667,3500.0000,28.1352
666.6667,4000.0000,28.4643
666.6667,4500.0000,28.6965
666.6667,5000.0000,28.6965
1000.0000,0.0000,11.1819
1000.0000,500.0000,11.1940
1000.0000,1000.0000,10.7812
1000.0000,1500.0000,10.7050
1000.0000,2000.0000,10.6308
1000.0000,2500.0000,10.8081
1000.0000,3000.0000,10.8351
1000.0000,3500.0000,10.9670
1000.0000,4000.0000,11.1428
1000.0000,4500.0000,11.1457
1000.0000,5000.0000,11.1457
1333.3333,0.0000,3.6227
1333.3333,500.0000,3.4825
1333.3333,1000.0000,3.5456
1333.3333,1500.0000,3.5403
1333.3333,2000.0000,3.5003
1333.3333,2500.0000,3.3664
1333.3333,3000.0000,3.3633
1333.3333,3500.0000,3.4187
1333.3333,4000.0000,3.5450
1333.3333,4500.0000,3.6889
1333.3333,5000.0000,3.6889
1666.6667,0.0000,15.5812
1666.6667,500.0000,15.3274
1666.6667,1000.0000,15.1325
1666.6667,1500.0000,14.9149
1666.6667,2000.0000,14.8069
1666.6667,2500.0000,14.7352
1666.6667,3000.0000,14.7851
1666.6667,3500.0000,15.0114
1666.6667,4000.0000,15.4255
1666.6667,4500.0000,15.6324
1666.6667,5000.0000,15.6324
2000.0000,0.0000,24.3397
2000.0000,500.0000,23.9353
2000.0000,1000.0000,23.5487
2000.0000,1500.0000,23.3434
2000.0000,2000.0000,23.2117
2000.0000,2500.0000,23.1758
2000.0000,3000.0000,23.3745
2000.0000,3500.0000,23.7468
2000.0000,4000.0000,24.2896
2000.0000,4500.0000,24.4139
2000.0000,5000.0000,24.4139
2333.3333,0.0000,29.6362
2333.3333,500.0000,29.0538
2333.3333,1000.0000,28.6722
2333.3333,1500.0000,28.6011
2333.3333,2000.0000,28.4886
2333.3333,2500.0000,28.5080
2333.3333,3000.0000,28.7291
2333.3333,3500.0000,29.3129
2333.3333,4000.0000,29.8864
2333.3333,4500.0000,29.6873
2333.3333,5000.0000,29.6873
2666.6667,0.0000,31.2264
2666.6667,500.0000,30.5196
2666.6667,1000.0000,30.2870
2666.6667,1500.0000,30.4160
2666.6667,2000.0000,30.3667
2666.6667,2500.0000,30.2976
2666.6667,3000.0000,30.4690
2666.6667,3500.0000,31.2232
2666.6667,4000.0000,31.7571
2666.6667,4500.0000,31.2145
2666.6667,5000.0000,31.2145
3000.0000,0.0000,28.8300
3000.0000,500.0000,28.0566
3000.0000,1000.0000,28.0601
3000.0000,1500.0000,28.3963
3000.0000,2000.0000,28.3738
3000.0000,2500.0000,28.1157
3000.0000,3000.0000,28.2000
3000.0000,3500.0000,29.0051
3000.0000,4000.0000,29.4214
3000.0000,4500.0000,28.6798
3000.0000,5000.0000,28.6798
3333.3333,0.0000,22.1158
3333.3333,500.0000,21.2954
3333.3333,1000.0000,21.4135
3333.3333,1500.0000,21.9457
3333.3333,2000.0000,21.9971
3333.3333,2500.0000,21.5810
3333.3333,3000.0000,21.5392
3333.3333,3500.0000,22.1219
3333.3333,4000.0000,22.4168
3333.3333,4500.0000,21.5613
3333.3333,5000.0000,21.5613
3666.6667,0.0000,10.3897
3666.6667,500.0000,9.5193
3666.6667,1000.0000,9.7904
3666.6667,1500.0000,10.4419
3666.6667,2000.0000,10.6572
3666.6667,2500.0000,10.1160
3666.6667,3000.0000,9.9391
3666.6667,3500.0000,10.1954
3666.6667,4000.0000,10.3106
3666.6667,4500.0000,9.3691
3666.6667,5000.0000,9.3691
4000.0000,0.0000,7.1028
4000.0000,500.0000,7.8415
4000.0000,1000.0000,7.5706
4000.0000,1500.0000,6.8958
4000.0000,2000.0000,6.4820
4000.0000,2500.0000,6.9129
4000.0000,3000.0000,7.2093
4000.0000,3500.0000,7.3425
4000.0000,4000.0000,7.4403
4000.0000,4500.0000,8.5002
4000.0000,5000.0000,8.5002
4333.3333,0.0000,31.0140
4333.3333,500.0000,31.6666
4333.3333,1000.0000,31.3894
4333.3333,1500.0000,30.7575
4333.3333,2000.0000,30.2885
4333.3333,2500.0000,30.5089
4333.3333,3000.0000,30.8537
4333.3333,3500.0000,31.1954
4333.3333,4000.0000,31.6462
4333.3333,4500.0000,32.8038
4333.3333,5000.0000,32.8038
4666.6667,0.0000,62.2373
4666.6667,500.0000,62.9065
4666.6667,1000.0000,62.6970
4666.6667,1500.0000,62.0832
4666.6667,2000.0000,61.6164
4666.6667,2500.0000,61.7065
4666.6667,3000.0000,62.0191
4666.6667,3500.0000,62.4619
4666.6667,4000.0000,63.0969
4666.6667,4500.0000,64.3278
4666.6667,5000.0000,64.3278
5000.0000,0.0000,62.2373
5000.0000,500.0000,62.9065
5000.0000,1000.0000,62.6970
5000.0000,1500.0000,62.0832
5000.0000,2000.0000,61.6164
5000.0000,2500.0000,61.7065
5000.0000,3000.0000,62.0191
5000.0000,3500.0000,62.4619
5000.0000,4000.0000,63.0969
5000.0000,4500.0000,64.3278
5000.0000,5000.0000,64.3278
