y,x,val
0.0000,0.0000,1580.3760
0.0000,1000.0000,1576.6544
0.0000,2000.0000,1572.8326
0.0000,3000.0000,1570.1280
0.0000,4000.0000,1567.8943
0.0000,5000.0000,1567.8943
333.3333,0.0000,1581.0397
333.3333,1000.0000,1576.8323
333.3333,2000.0000,1572.6872
333.3333,3000.0000,1569.7929
333.3333,4000.0000,1566.9846
333.3333,5000.0000,1566.9846
666.6667,0.0000,1581.5619
666.6667,1000.0000,1577.4747
666.6667,2000.0000,1572.8182
666.6667,3000.0000,1569.0335
666.6667,4000.0000,1565.3314
666.6667,5000.0000,1565.3314
1000.0000,0.0000,1581.7707
1000.0000,1000.0000,1577.6817
1000.0000,2000.0000,1572.8563
1000.0000,3000.0000,1568.1925
1000.0000,4000.0000,1563.9618
1000.0000,5000.0000,1563.9618
1333.3333,0.0000,1581.1436
1333.3333,1000.0000,1577.1166
1333.3333,2000.0000,1572.5697
1333.3333,3000.0000,1567.8876
1333.3333,4000.0000,1563.2624
1333.3333,5000.0000,1563.2624
1666.6667,0.0000,1579.8567
1666.6667,1000.0000,1576.0370
1666.6667,2000.0000,1571.8977
1666.6667,3000.0000,1567.8753
1666.6667,4000.0000,1563.0524
1666.6667,5000.0000,1563.0524
2000.0000,0.0000,1578.1709
2000.0000,1000.0000,1574.7322
2000.0000,2000.0000,1571.0031
2000.0000,3000.0000,1567.7207
2000.0000,4000.0000,1563.0387
2000.0000,5000.0000,1563.0387
2333.3333,0.0000,1576.4647
2333.3333,1000.0000,1573.7568
2333.3333,2000.0000,1570.1553
2333.3333,3000.0000,1566.8057
2333.3333,4000.0000,1562.6736
2333.3333,5000.0000,1562.6736
2666.6667,0.0000,1575.0682
2666.6667,1000.0000,1572.7797
2666.6667,2000.0000,1569.2245
2666.6667,3000.0000,1565.5619
2666.6667,4000.0000,1561.7422
2666.6667,5000.0000,1561.7422
3000.0000,0.0000,1574.2760
3000.0000,1000.0000,1571.5355
3000.0000,2000.0000,1568.2021
3000.0000,3000.0000,1564.1664
3000.0000,4000.0000,1560.2103
3000.0000,5000.0000,1560.2103
3333.3333,0.0000,1574.1626
3333.3333,1000.0000,1570.3395
3333.3333,2000.0000,1566.6402
3333.3333,3000.0000,1562.7790
3333.3333,4000.0000,1558.2433
3333.3333,5000.0000,1558.2433
3666.6667,0.0000,1574.1428
3666.6667,1000.0000,1569.4712
3666.6667,2000.0000,1565.0683
3666.6667,3000.0000,1561.2666
3666.6667,4000.0000,1556.1218
3666.6667,5000.0000,1556.1218
4000.0000,0.0000,1573.4484
4000.0000,1000.0000,1568.8669
4000.0000,2000.0000,1563.6252
4000.0000,3000.0000,1559.7939
4000.0000,4000.0000,1554.8280
4000.0000,5000.0000,1554.8280
4333.3333,0.0000,1572.4207
4333.3333,1000.0000,1568.0177
4333.3333,2000.0000,1562.4508
4333.3333,3000.0000,1558.4342
4333.3333,4000.0000,1554.8760
4333.3333,5000.0000,1554.8760
4666.6667,0.0000,1571.4513
4666.6667,1000.0000,1567.4192
4666.6667,2000.0000,1562.0219
4666.6667,3000.0000,1557.8305
4666.6667,4000.0000,1554.9316
4666.6667,5000.0000,1554.9316
5000.0000,0.0000,1571.4513
5000.0000,1000.0000,1567.4192
5000.0000,2000.0000,1562.0219
5000.0000,3000.0000,1557.8305
5000.0000,4000.0000,1554.9316
5000.0000,5000.0000,1554.9316
