y,x,val
0.0000,0.0000,72.3760
0.0000,1000.0000,72.6544
0.0000,2000.0000,72.8326
0.0000,3000.0000,74.1280
0.0000,4000.0000,75.8943
0.0000,5000.0000,75.8943
333.3333,0.0000,50.9042
333.3333,1000.0000,50.6968
333.3333,2000.0000,50.5517
333.3333,3000.0000,51.6574
333.3333,4000.0000,52.8491
333.3333,5000.0000,52.8491
666.6667,0.0000,31.7885
666.6667,1000.0000,31.7012
666.6667,2000.0000,31.0447
666.6667,3000.0000,31.2600
666.6667,4000.0000,31.5579
666.6667,5000.0000,31.5579
1000.0000,0.0000,14.9315
1000.0000,1000.0000,14.8425
1000.0000,2000.0000,14.0171
1000.0000,3000.0000,13.3533
1000.0000,4000.0000,13.1226
1000.0000,5000.0000,13.1226
1333.3333,0.0000,0.0747
1333.3333,1000.0000,0.1017
1333.3333,2000.0000,0.6486
1333.3333,3000.0000,1.3307
1333.3333,4000.0000,1.9559
1333.3333,5000.0000,1.9559
1666.6667,0.0000,12.8974
1666.6667,1000.0000,12.7171
1666.6667,2000.0000,12.8564
1666.6667,3000.0000,12.8788
1666.6667,4000.0000,13.7016
1666.6667,5000.0000,13.7016
2000.0000,0.0000,23.0720
2000.0000,1000.0000,22.5108
2000.0000,2000.0000,22.2398
2000.0000,3000.0000,21.5223
2000.0000,4000.0000,22.2043
2000.0000,5000.0000,22.2043
2333.3333,0.0000,29.9649
2333.3333,1000.0000,28.6728
2333.3333,2000.0000,28.2743
2333.3333,3000.0000,27.6239
2333.3333,4000.0000,27.7560
2333.3333,5000.0000,27.7560
2666.6667,0.0000,32.9318
2666.6667,1000.0000,31.2203
2666.6667,2000.0000,30.7755
2666.6667,3000.0000,30.4381
2666.6667,4000.0000,30.2578
2666.6667,5000.0000,30.2578
3000.0000,0.0000,31.2972
3000.0000,1000.0000,30.0377
3000.0000,2000.0000,29.3711
3000.0000,3000.0000,29.4068
3000.0000,4000.0000,29.3629
3000.0000,5000.0000,29.3629
3333.3333,0.0000,24.5280
3333.3333,1000.0000,24.3511
3333.3333,2000.0000,24.0504
3333.3333,3000.0000,23.9116
3333.3333,4000.0000,24.4472
3333.3333,5000.0000,24.4472
3666.6667,0.0000,12.6602
3666.6667,1000.0000,13.3318
3666.6667,2000.0000,13.7348
3666.6667,3000.0000,13.5364
3666.6667,4000.0000,14.6812
3666.6667,5000.0000,14.6812
4000.0000,0.0000,4.1933
4000.0000,1000.0000,3.6119
4000.0000,2000.0000,2.3701
4000.0000,3000.0000,2.5388
4000.0000,4000.0000,1.5730
4000.0000,5000.0000,1.5730
4333.3333,0.0000,27.1552
4333.3333,1000.0000,26.7523
4333.3333,2000.0000,25.1853
4333.3333,3000.0000,25.1688
4333.3333,4000.0000,25.6105
4333.3333,5000.0000,25.6105
4666.6667,0.0000,57.5480
4666.6667,1000.0000,57.5159
4666.6667,2000.0000,56.1186
4666.6667,3000.0000,55.9272
4666.6667,4000.0000,57.0283
4666.6667,5000.0000,57.0283
5000.0000,0.0000,57.5480
5000.0000,1000.0000,57.5159
5000.0000,2000.0000,56.1186
5000.0000,3000.0000,55.9272
5000.0000,4000.0000,57.0283
5000.0000,5000.0000,57.0283
