y,x,val
0.0000,0.0000,1562.2644
0.0000,500.0000,1587.6632
0.0000,1000.0000,1604.0074
0.0000,1500.0000,1613.1816
0.0000,2000.0000,1618.6929
0.0000,2500.0000,1619.6157
0.0000,3000.0000,1609.9730
0.0000,3500.0000,1587.1058
0.0000,4000.0000,1568.8152
0.0000,4500.0000,1545.7284
0.0000,5000.0000,1545.7284
333.3333,0.0000,1557.1827
333.3333,500.0000,1585.8462
333.3333,1000.0000,1604.5793
333.3333,1500.0000,1614.8436
333.3333,2000.0000,1619.2691
333.3333,2500.0000,1619.8760
333.3333,3000.0000,1609.1629
333.3333,3500.0000,1585.5785
333.3333,4000.0000,1565.4950
333.3333,4500.0000,1541.1202
333.3333,5000.0000,1541.1202
666.6667,0.0000,1553.9956
666.6667,500.0000,1576.1869
666.6667,1000.0000,1604.4555
666.6667,1500.0000,1620.1085
666.6667,2000.0000,1621.0256
666.6667,2500.0000,1619.0655
666.6667,3000.0000,1601.9486
666.6667,3500.0000,1585.4328
666.6667,4000.0000,1555.2542
666.6667,4500.0000,1537.6140
666.6667,5000.0000,1537.6140
1000.0000,0.0000,1551.3213
1000.0000,500.0000,1568.6654
1000.0000,1000.0000,1602.5027
1000.0000,1500.0000,1620.4223
1000.0000,2000.0000,1621.8531
1000.0000,2500.0000,1616.5708
1000.0000,3000.0000,1593.5422
1000.0000,3500.0000,1576.8659
1000.0000,4000.0000,1549.3117
1000.0000,4500.0000,1535.1820
1000.0000,5000.0000,1535.1820
1333.3333,0.0000,1550.4982
1333.3333,500.0000,1565.3014
1333.3333,1000.0000,1596.4726
1333.3333,1500.0000,1612.9162
1333.3333,2000.0000,1620.0504
1333.3333,2500.0000,1612.5559
1333.3333,3000.0000,1585.4925
1333.3333,3500.0000,1567.6443
1333.3333,4000.0000,1545.2504
1333.3333,4500.0000,1533.6439
1333.3333,5000.0000,1533.6439
1666.6667,0.0000,1550.4223
1666.6667,500.0000,1563.1933
1666.6667,1000.0000,1587.9488
1666.6667,1500.0000,1600.8840
1666.6667,2000.0000,1615.4495
1666.6667,2500.0000,1609.3520
1666.6667,3000.0000,1579.4644
1666.6667,3500.0000,1558.9252
1666.6667,4000.0000,1541.7173
1666.6667,4500.0000,1532.3941
1666.6667,5000.0000,1532.3941
2000.0000,0.0000,1548.3858
2000.0000,500.0000,1558.4190
2000.0000,1000.0000,1576.0938
2000.0000,1500.0000,1589.5707
2000.0000,2000.0000,1606.9829
2000.0000,2500.0000,1602.2354
2000.0000,3000.0000,1580.1241
2000.0000,3500.0000,1555.8029
2000.0000,4000.0000,1539.9493
2000.0000,4500.0000,1531.6927
2000.0000,5000.0000,1531.6927
2333.3333,0.0000,1544.4084
2333.3333,500.0000,1551.7225
2333.3333,1000.0000,1565.0523
2333.3333,1500.0000,1584.9975
2333.3333,2000.0000,1597.7430
2333.3333,2500.0000,1593.6378
2333.3333,3000.0000,1578.0914
2333.3333,3500.0000,1555.4350
2333.3333,4000.0000,1539.3424
2333.3333,4500.0000,1531.1474
2333.3333,5000.0000,1531.1474
2666.6667,0.0000,1541.1531
2666.6667,500.0000,1547.6795
2666.6667,1000.0000,1560.2237
2666.6667,1500.0000,1580.4648
2666.6667,2000.0000,1590.2669
2666.6667,2500.0000,1588.6930
2666.6667,3000.0000,1572.1001
2666.6667,3500.0000,1551.8825
2666.6667,4000.0000,1536.9561
2666.6667,4500.0000,1529.2894
2666.6667,5000.0000,1529.2894
3000.0000,0.0000,1538.9553
3000.0000,500.0000,1546.0554
3000.0000,1000.0000,1559.6755
3000.0000,1500.0000,1577.8928
3000.0000,2000.0000,1588.9274
3000.0000,2500.0000,1580.9148
3000.0000,3000.0000,1564.1658
3000.0000,3500.0000,1545.8385
3000.0000,4000.0000,1532.8342
3000.0000,4500.0000,1526.1017
3000.0000,5000.0000,1526.1017
3333.3333,0.0000,1536.1417
3333.3333,500.0000,1543.7769
3333.3333,1000.0000,1558.2880
3333.3333,1500.0000,1575.2791
3333.3333,2000.0000,1584.9275
3333.3333,2500.0000,1575.5968
3333.3333,3000.0000,1561.6924
3333.3333,3500.0000,1541.8437
3333.3333,4000.0000,1529.3161
3333.3333,4500.0000,1522.9716
3333.3333,5000.0000,1522.9716
3666.6667,0.0000,1531.8738
3666.6667,500.0000,1539.4849
3666.6667,1000.0000,1554.3975
3666.6667,1500.0000,1572.1275
3666.6667,2000.0000,1580.5499
3666.6667,2500.0000,1576.0494
3666.6667,3000.0000,1560.3312
3666.6667,3500.0000,1541.1090
3666.6667,4000.0000,1527.5850
3666.6667,4500.0000,1520.8224
3666.6667,5000.0000,1520.8224
4000.0000,0.0000,1527.3474
4000.0000,500.0000,1535.2207
4000.0000,1000.0000,1549.9185
4000.0000,1500.0000,1567.5767
4000.0000,2000.0000,1580.4707
4000.0000,2500.0000,1576.9479
4000.0000,3000.0000,1560.4005
4000.0000,3500.0000,1541.1373
4000.0000,4000.0000,1526.4673
4000.0000,4500.0000,1519.3072
4000.0000,5000.0000,1519.3072
4333.3333,0.0000,1523.6817
4333.3333,500.0000,1532.3531
4333.3333,1000.0000,1548.4614
4333.3333,1500.0000,1566.7060
4333.3333,2000.0000,1579.5543
4333.3333,2500.0000,1575.5496
4333.3333,3000.0000,1559.9838
4333.3333,3500.0000,1541.0490
4333.3333,4000.0000,1525.6573
4333.3333,4500.0000,1518.3094
4333.3333,5000.0000,1518.3094
4666.6667,0.0000,1522.1772
4666.6667,500.0000,1531.6916
4666.6667,1000.0000,1548.1154
4666.6667,1500.0000,1566.1108
4666.6667,2000.0000,1577.9207
4666.6667,2500.0000,1574.1893
4666.6667,3000.0000,1559.4886
4666.6667,3500.0000,1541.0571
4666.6667,4000.0000,1525.5745
4666.6667,4500.0000,1517.9959
4666.6667,5000.0000,1517.9959
5000.0000,0.0000,1522.1772
5000.0000,500.0000,1531.6916
5000.0000,1000.0000,1548.1154
5000.0000,1500.0000,1566.1108
5000.0000,2000.0000,1577.9207
5000.0000,2500.0000,1574.1893
5000.0000,3000.0000,1559.4886
5000.0000,3500.0000,1541.0571
5000.0000,4000.0000,1525.5745
5000.0000,4500.0000,1517.9959
5000.0000,5000.0000,1517.9959
