y,x,val
0.0000,0.0000,1520.6480
0.0000,500.0000,1519.7189
0.0000,1000.0000,1518.1997
0.0000,1500.0000,1516.1268
0.0000,2000.0000,1513.8732
0.0000,2500.0000,1511.5483
0.0000,3000.0000,1509.2733
0.0000,3500.0000,1507.1842
0.0000,4000.0000,1505.4280
0.0000,4500.0000,1504.4450
0.0000,5000.0000,1504.4450
333.3333,0.0000,1520.7818
333.3333,500.0000,1519.7902
333.3333,1000.0000,1518.1926
333.3333,1500.0000,1516.1375
333.3333,2000.0000,1513.9123
333.3333,2500.0000,1511.6015
333.3333,3000.0000,1509.3113
333.3333,3500.0000,1507.1863
333.3333,4000.0000,1505.4013
333.3333,4500.0000,1504.3015
333.3333,5000.0000,1504.3015
666.6667,0.0000,1520.9537
666.6667,500.0000,1519.9317
666.6667,1000.0000,1518.1904
666.6667,1500.0000,1516.1057
666.6667,2000.0000,1513.8944
666.6667,2500.0000,1511.6623
666.6667,3000.0000,1509.4190
666.6667,3500.0000,1507.2721
666.6667,4000.0000,1505.4245
666.6667,4500.0000,1504.1349
666.6667,5000.0000,1504.1349
1000.0000,0.0000,1521.1776
1000.0000,500.0000,1519.9606
1000.0000,1000.0000,1518.1431
1000.0000,1500.0000,1516.0310
1000.0000,2000.0000,1513.8080
1000.0000,2500.0000,1511.7396
1000.0000,3000.0000,1509.5758
1000.0000,3500.0000,1507.3988
1000.0000,4000.0000,1505.3764
1000.0000,4500.0000,1503.8943
1000.0000,5000.0000,1503.8943
1333.3333,0.0000,1521.4345
1333.3333,500.0000,1520.0084
1333.3333,1000.0000,1518.0974
1333.3333,1500.0000,1515.9353
1333.3333,2000.0000,1513.7339
1333.3333,2500.0000,1511.7909
1333.3333,3000.0000,1509.7805
1333.3333,3500.0000,1507.5565
1333.3333,4000.0000,1505.4631
1333.3333,4500.0000,1503.6315
1333.3333,5000.0000,1503.6315
1666.6667,0.0000,1521.6248
1666.6667,500.0000,1520.0453
1666.6667,1000.0000,1518.0376
1666.6667,1500.0000,1515.8283
1666.6667,2000.0000,1513.7115
1666.6667,2500.0000,1511.7548
1666.6667,3000.0000,1509.8883
1666.6667,3500.0000,1507.7052
1666.6667,4000.0000,1505.5000
1666.6667,4500.0000,1503.5825
1666.6667,5000.0000,1503.5825
2000.0000,0.0000,1521.8226
2000.0000,500.0000,1520.0859
2000.0000,1000.0000,1517.9699
2000.0000,1500.0000,1515.7283
2000.0000,2000.0000,1513.7238
2000.0000,2500.0000,1511.7915
2000.0000,3000.0000,1509.9080
2000.0000,3500.0000,1507.7592
2000.0000,4000.0000,1505.5318
2000.0000,4500.0000,1503.6954
2000.0000,5000.0000,1503.6954
2333.3333,0.0000,1522.0072
2333.3333,500.0000,1520.0742
2333.3333,1000.0000,1517.8558
2333.3333,1500.0000,1515.6666
2333.3333,2000.0000,1513.7262
2333.3333,2500.0000,1511.7896
2333.3333,3000.0000,1509.8386
2333.3333,3500.0000,1507.7197
2333.3333,4000.0000,1505.5776
2333.3333,4500.0000,1504.0007
2333.3333,5000.0000,1504.0007
