y,x,val
0.0000,0.0000,13.1707
0.0000,500.0000,14.2632
0.0000,1000.0000,14.6832
0.0000,1500.0000,14.6649
0.0000,2000.0000,14.4077
0.0000,2500.0000,14.0660
0.0000,3000.0000,13.7627
0.0000,3500.0000,13.6569
0.0000,4000.0000,13.9667
0.0000,4500.0000,14.9723
0.0000,5000.0000,14.9723
333.3333,0.0000,8.7883
333.3333,500.0000,9.8201
333.3333,1000.0000,10.1941
333.3333,1500.0000,10.1564
333.3333,2000.0000,9.9089
333.3333,2500.0000,9.5984
333.3333,3000.0000,9.3111
333.3333,3500.0000,9.1854
333.3333,4000.0000,9.4320
333.3333,4500.0000,10.3440
333.3333,5000.0000,10.3440
666.6667,0.0000,4.9621
666.6667,500.0000,5.8993
666.6667,1000.0000,6.1910
666.6667,1500.0000,6.1189
666.6667,2000.0000,5.8919
666.6667,2500.0000,5.6555
666.6667,3000.0000,5.4124
666.6667,3500.0000,5.2600
666.6667,4000.0000,5.3996
666.6667,4500.0000,6.1362
666.6667,5000.0000,6.1362
1000.0000,0.0000,1.7024
1000.0000,500.0000,2.4871
1000.0000,1000.0000,2.6703
1000.0000,1500.0000,2.5548
1000.0000,2000.0000,2.3524
1000.0000,2500.0000,2.2479
1000.0000,3000.0000,2.0872
1000.0000,3500.0000,1.9098
1000.0000,4000.0000,1.9084
1000.0000,4500.0000,2.4086
1000.0000,5000.0000,2.4086
1333.3333,0.0000,0.9949
1333.3333,500.0000,0.4053
1333.3333,1000.0000,0.3260
1333.3333,1500.0000,0.4913
1333.3333,2000.0000,0.6700
1333.3333,2500.0000,0.6418
1333.3333,3000.0000,0.6679
1333.3333,3500.0000,0.8629
1333.3333,4000.0000,0.9818
1333.3333,4500.0000,0.7821
1333.3333,5000.0000,0.7821
1666.6667,0.0000,3.1445
1666.6667,500.0000,2.7162
1666.6667,1000.0000,2.7473
1666.6667,1500.0000,2.9515
1666.6667,2000.0000,3.0664
1666.6667,2500.0000,3.0241
1666.6667,3000.0000,2.9127
1666.6667,3500.0000,3.1097
1666.6667,4000.0000,3.3145
1666.6667,4500.0000,3.2268
1666.6667,5000.0000,3.2268
2000.0000,0.0000,4.6830
2000.0000,500.0000,4.4381
2000.0000,1000.0000,4.5718
2000.0000,1500.0000,4.7984
2000.0000,2000.0000,4.8150
2000.0000,2500.0000,4.7552
2000.0000,3000.0000,4.6501
2000.0000,3500.0000,4.8238
2000.0000,4000.0000,5.0263
2000.0000,4500.0000,4.8669
2000.0000,5000.0000,4.8669
2333.3333,0.0000,5.5663
2333.3333,500.0000,5.5130
2333.3333,1000.0000,5.7372
2333.3333,1500.0000,5.9519
2333.3333,2000.0000,5.8844
2333.3333,2500.0000,5.8324
2333.3333,3000.0000,5.7719
2333.3333,3500.0000,5.9391
2333.3333,4000.0000,6.0904
2333.3333,4500.0000,5.6634
2333.3333,5000.0000,5.6634
2666.6667,0.0000,5.7685
2666.6667,500.0000,5.8177
2666.6667,1000.0000,6.1098
2666.6667,1500.0000,6.3095
2666.6667,2000.0000,6.2680
2666.6667,2500.0000,6.2479
2666.6667,3000.0000,6.2011
2666.6667,3500.0000,6.2948
2666.6667,4000.0000,6.4104
2666.6667,4500.0000,5.7126
2666.6667,5000.0000,5.7126
3000.0000,0.0000,5.2076
3000.0000,500.0000,5.3072
3000.0000,1000.0000,5.6815
3000.0000,1500.0000,5.7995
3000.0000,2000.0000,5.7989
3000.0000,2500.0000,5.8153
3000.0000,3000.0000,5.7950
3000.0000,3500.0000,5.7933
3000.0000,4000.0000,5.9234
3000.0000,4500.0000,5.1041
3000.0000,5000.0000,5.1041
3333.3333,0.0000,3.8073
3333.3333,500.0000,3.9227
3333.3333,1000.0000,4.3687
3333.3333,1500.0000,4.3531
3333.3333,2000.0000,4.3775
3333.3333,2500.0000,4.4045
3333.3333,3000.0000,4.3901
3333.3333,3500.0000,4.3403
