y,x,val
0.0000,0.0000,62.1539
0.0000,500.0000,63.3587
0.0000,1000.0000,63.3797
0.0000,1500.0000,62.5783
0.0000,2000.0000,61.4762
0.0000,2500.0000,60.4332
0.0000,3000.0000,59.7663
0.0000,3500.0000,59.6277
0.0000,4000.0000,60.0147
0.0000,4500.0000,61.0021
0.0000,5000.0000,61.0021
333.3333,0.0000,54.4304
333.3333,500.0000,55.8973
333.3333,1000.0000,55.9322
333.3333,1500.0000,55.2117
333.3333,2000.0000,54.1664
333.3333,2500.0000,53.1455
333.3333,3000.0000,52.5393
333.3333,3500.0000,52.4357
333.3333,4000.0000,52.8380
333.3333,4500.0000,53.5444
333.3333,5000.0000,53.5444
666.6667,0.0000,44.3304
666.6667,500.0000,45.6795
666.6667,1000.0000,45.9994
666.6667,1500.0000,45.5448
666.6667,2000.0000,44.6256
666.6667,2500.0000,43.6665
666.6667,3000.0000,43.1226
666.6667,3500.0000,43.0975
666.6667,4000.0000,43.5842
666.6667,4500.0000,43.7729
666.6667,5000.0000,43.7729
1000.0000,0.0000,31.9159
1000.0000,500.0000,33.0859
1000.0000,1000.0000,33.9718
1000.0000,1500.0000,33.9305
1000.0000,2000.0000,33.1858
1000.0000,2500.0000,32.1431
1000.0000,3000.0000,31.8170
1000.0000,3500.0000,31.7769
1000.0000,4000.0000,32.2098
1000.0000,4500.0000,32.2900
1000.0000,5000.0000,32.2900
1333.3333,0.0000,18.1138
1333.3333,500.0000,18.4104
1333.3333,1000.0000,20.4308
1333.3333,1500.0000,20.9039
1333.3333,2000.0000,20.4362
1333.3333,2500.0000,18.9987
1333.3333,3000.0000,19.4275
1333.3333,3500.0000,19.6618
1333.3333,4000.0000,18.8762
1333.3333,4500.0000,18.7200
1333.3333,5000.0000,18.7200
1666.6667,0.0000,4.1504
1666.6667,500.0000,3.6145
1666.6667,1000.0000,5.0702
1666.6667,1500.0000,6.6308
1666.6667,2000.0000,6.6721
1666.6667,2500.0000,5.4366
1666.6667,3000.0000,6.5997
1666.6667,3500.0000,6.9618
1666.6667,4000.0000,4.4742
1666.6667,4500.0000,4.0369
1666.6667,5000.0000,4.0369
2000.0000,0.0000,9.6576
2000.0000,500.0000,10.8742
2000.0000,1000.0000,10.2318
2000.0000,1500.0000,7.3474
2000.0000,2000.0000,7.3607
2000.0000,2500.0000,7.4272
2000.0000,3000.0000,6.0360
2000.0000,3500.0000,6.9946
2000.0000,4000.0000,9.7022
2000.0000,4500.0000,10.1096
2000.0000,5000.0000,10.1096
2333.3333,0.0000,21.7780
2333.3333,500.0000,22.9245
2333.3333,1000.0000,22.5083
2333.3333,1500.0000,21.4839
2333.3333,2000.0000,20.7296
2333.3333,2500.0000,20.3635
2333.3333,3000.0000,19.7035
2333.3333,3500.0000,20.0494
2333.3333,4000.0000,22.3332
2333.3333,4500.0000,22.4435
2333.3333,5000.0000,22.4435
2666.6667,0.0000,31.3899
2666.6667,500.0000,32.2426
2666.6667,1000.0000,32.5524
2666.6667,1500.0000,32.5538
2666.6667,2000.0000,31.4748
2666.6667,2500.0000,31.0240
2666.6667,3000.0000,32.0826
2666.6667,3500.0000,32.9972
2666.6667,4000.0000,33.1689
2666.6667,4500.0000,32.2789
2666.6667,5000.0000,32.2789
3000.0000,0.0000,37.1093
3000.0000,500.0000,37.8623
3000.0000,1000.0000,38.9104
3000.0000,1500.0000,39.7726
3000.0000,2000.0000,40.9867
3000.0000,2500.0000,41.1691
3000.0000,3000.0000,41.4028
3000.0000,3500.0000,41.5459
3000.0000,4000.0000,40.0237
3000.0000,4500.0000,38.1652
3000.0000,5000.0000,38.1652
3333.3333,0.0000,37.9693
3333.3333,500.0000,38.7547
3333.3333,1000.0000,40.3535
3333.3333,1500.0000,41.8743
3333.3333,2000.0000,45.0361
3333.3333,2500.0000,46.2883
3333.3333,3000.0000,45.3546
3333.3333,3500.0000,43.7306
3333.3333,4000.0000,41.0949
3333.3333,4500.0000,38.5999
3333.3333,5000.0000,38.5999
3666.6667,0.0000,33.7191
3666.6667,500.0000,34.2494
3666.6667,1000.0000,35.9424
3666.6667,1500.0000,38.0097
3666.6667,2000.0000,39.9871
3666.6667,2500.0000,41.7130
3666.6667,3000.0000,41.1531
3666.6667,3500.0000,38.7895
3666.6667,4000.0000,35.6178
3666.6667,4500.0000,32.9775
3666.6667,5000.0000,32.9775
4000.0000,0.0000,25.3082
4000.0000,500.0000,24.7296
4000.0000,1000.0000,25.0102
4000.0000,1500.0000,25.9186
4000.0000,2000.0000,26.7894
4000.0000,2500.0000,27.9851
4000.0000,3000.0000,26.5185
4000.0000,3500.0000,25.4611
4000.0000,4000.0000,23.5101
4000.0000,4500.0000,21.7926
4000.0000,5000.0000,21.7926
4333.3333,0.0000,15.1226
4333.3333,500.0000,13.1398
4333.3333,1000.0000,10.7469
4333.3333,1500.0000,7.5070
4333.3333,2000.0000,5.2690
4333.3333,2500.0000,3.4005
4333.3333,3000.0000,3.2409
4333.3333,3500.0000,5.8930
4333.3333,4000.0000,7.6681
4333.3333,4500.0000,7.8072
4333.3333,5000.0000,7.8072
4666.6667,0.0000,5.3121
4666.6667,500.0000,2.1900
4666.6667,1000.0000,2.5657
4666.6667,1500.0000,9.8342
4666.6667,2000.0000,18.8449
4666.6667,2500.0000,28.4426
4666.6667,3000.0000,20.7534
4666.6667,3500.0000,12.1107
4666.6667,4000.0000,6.6083
4666.6667,4500.0000,4.8262
4666.6667,5000.0000,4.8262
5000.0000,0.0000,5.3121
5000.0000,500.0000,2.1900
5000.0000,1000.0000,2.5657
5000.0000,1500.0000,9.8342
5000.0000,2000.0000,18.8449
5000.0000,2500.0000,28.4426
5000.0000,3000.0000,20.7534
5000.0000,3500.0000,12.1107
5000.0000,4000.0000,6.6083
5000.0000,4500.0000,4.8262
5000.0000,5000.0000,4.8262
